id	emotion	text
1550	fear	Before giving a seminar to a rather large audience.
1551	anger	Being stopped by the police for a traffic offence which I don't   think I committed.
1552	sadness	Death of a parent.
1553	disgust	At a social event none of the guests would help to serve   food or clear tables. It was all beneath them.
1554	shame	"The mother of a small child found me shaking the child in   exasperation, because I couldn't get it to sleep."
1555	fear	"I was a passenger in a jumbo-jet which was accelerating down the   runway and almost at the point of take-off, the pilot   suddenly braked and put the engines into reverse thrust, in an   obviously urgent attempt to stop the aircraft. The hostesses show   signs of concern and my first thought was that something was on   the runway in our path and that we were in danger of hitting it."
1556	anger	"A person walking his dog allowed it to defecate on the footpath   outside my house. Although it had happened before, this was the   first time I had witnessed it. All the skills I had learnt from   PY 263 were thrown out the window his indifference to my   protestation was obvious to me."
1557	sadness	"While walking through an old mining area, I unwittingly disturbed   a wallaby which, in its resultant flight, accidentally fell down   a deep mine shaft. On investigation it seemed uninjured, but it   was impossible for the wallaby to get out, and also for me to get   it out of the shaft. To prevent its suffering a slow death, I   shot it."
1558	disgust	"A colleague and I were sitting on a bench next to an old man in a   shopping centre. the old man coughed and spluttered somewhat,   then with his fingers removed the resultant phlegm and mucous   from his mouth, and transferred it onto the armrest of the   bench."
1559	shame	"I had promised to contact a friend about a particular matter by a   certain date, then thought no more about it until the friend   reminded me after the date had passed."
1560	guilt	A neighbour complained about smoke from my backyard incinerator   entering his house after a change of wind direction. I lit the   fire after originally checking that the wind would not blow the   smoke in that direction.
1561	fear	"I heard that there had been some women raped at uni, just   near where I usually park my car and walk by myself at night.   Although I wasn't in danger it unnerved me for days and I was   fearful whenever walking through the area."
1562	anger	"the person I am going out with let me down in a situation   that I was depending on them, and didn't show respect or care."
1563	sadness	I found out that a person I went to school with had died in   a car accident.
1564	disgust	"I heard about the way a parent of a friend had mistreated   him, and caused a great instability."
1565	shame	"I realised that I had become too emotionally involved with   the person I'm going out with, and I began to like someone   else and questioned whether I really care about person I'm with."
1566	guilt	"I came very late one night (or morning !) and my parents   were waiting, not so much angrgy as disappointed."
1567	neutral	One of my friends and I had breakfast in a restaurant. It was   spontaneous and lots of fun.
1568	fear	I was walking home late at night from lectures and someone   deliberately started following me. It was dark and I was scared.
1569	anger	"At one of my close friends saying she didn't like the way I am   nice to people I don't know, or who have been nasty to me."
1570	sadness	Leaving Melbourne to move interstate - leaving relatives and   friends behind.
1571	disgust	Disgust at a girl I know for continually feeling sorry for herself   and never acting positively to do something about her problems.
1572	shame	I am ashamed of the horrible way I used to treat my little   sister.
1573	neutral	I noticed that Meryl Streep and I had similar cheekbones and jaw   structure.
1574	fear	I do not recall being scared in the near past.
1575	anger	As for disgust.
1576	sadness	Girl I was fond of did not initiate conversation as I expected in   tutorial.
1577	disgust	"I realised that someone was insidiously attempting to shit me off   I was disgusted with him for doing so, because I afforded him   with no excuse to do so."
1578	shame	"I do not seem to feel emotion such as shame, guilt or fear - far   out !"
1579	guilt	I cannot recall feeling guilty in the near past. REMARK - SUBJECT MAY NOT HAVE TAKEN THE EXERCISE VERY SERIOUSLY.
1580	neutral	"I was complimented and called ""delightful""."
1581	anger	Anger towards my lover for being late.
1582	sadness	The death of my twin sister - suicide.
1583	disgust	Disgust with myself for consistently making foolish errors in   communicating with others (asking for 1/2 Kg of nuts I only   wanted 50 g).
1584	shame	"I had been rude to my mother at a time she needed   comforting, not anger (death of my sister)."
1585	guilt	Guilt - because I had not written to my sister for months before   she died.
1586	neutral	My current lover and I had been very busy with work and study and   had not had time alone together for almost a month until one   afternoon recently we made love for hours and then showered   and ate together.
1587	fear	A workmate and I had been antagonistic with each other for some   weeks - he had reacted violently to my criticisms of his work   standards.
1588	anger	"I had been having a heated argument with a lover - whose   intention was that we should marry in the near future - and was   rejected by her I started to cry. I stopped crying for   a moment she said ""There, have you got it all out now ?""."
1589	disgust	I discovered some pornographic literature in a workmates drawers.   The literature featured pictures of naked women defecating on one   another.
1590	shame	"Upon returning from a journey of about two weeks duration, I   found that a collection of pornographic literature had been   removed from my room I had previously thought that no one was   aware of the existence of this material."
1591	guilt	"My mother and father had forbidden me to ride my scooter on the   road, and I had transgressed (together with the ""wild"" kids from   across the street) by riding my scooter down a steep hill near   our house. My mother sent the boy next door to collect me, and I   was severely scolded."
1592	neutral	Blank.
1593	fear	"After going through a glass door, I sustained a number of serious   cuts which were gaping open."
1594	anger	The mother of a person with whom we had been sharing a housing   accused me of trying to rip her off over payment of bills in the   house. 
1595	sadness	"Watching ""11 am"". They had a programme on the starving refugees.   Their plight was a source of sadness for me."
1596	guilt	A girl whom I hadn't seen for a period of time told me that she   had been pregnant and had an abortion - I was the father.
1597	disgust	Disgust with oneself after being intoxicated enough to go to bed   with a stranger.
1598	shame	"I feel shame every time I think of very dear friends of mine   abroad who were family to me for a year, and now 2 years later, I   have attempted, but have not actually gone through with   corresponding with them, to express my feelings and gratitude."
1599	neutral	I thought that my high school love and I had a mutual   emotion.
1600	fear	I was on my surf ski. Rather large waves to strong current   separated me from my ski and we both began to drift slowly   (actually rather quickly) away to sea. The direction I was   drifting in was taking me straight over a reef on which rather   large sharks were constantly being caught. (I was alone with no   one to help me).
1601	anger	I was enneutraling the company of bird life while I was eating lunch   in a park a group of people began throwing sticks at some of   the birds - for no reason other than the satisfaction of seeing   them being scared away.
1602	sadness	"I left my sister's house after staying there for a few days.   She has two little boys, and they are very warm people (the   family). At the time, I was in need of this sort of contact, and   I grew very fond of children (no, I'm not a paedophiliac)."
1603	disgust	my father revealed inconsistent morals.
1604	shame	I woke up after a night of drinking I couldn't remember and   discovered several untoward things had occurred.
1605	guilt	Leaving home my mother thought I had no reason to go and   felt that I was rejecting her. She is a constantly depressed   person (a bit of a worry-wort) and I felt guilty about having   given her this additonal problem.
1606	neutral	I'd just got the top mark in an exam.
1607	anger	"I was at the corner shop, which I patronise regularly I had only   a $ 50 note and I purchased about $ 3 worth of goods that I   really needed - the keeper made sarcastic remarks to others about   people using him to cash notes."
1608	sadness	"My mother died of cancer after a 4 year illness - I think the   most pregnant moment of sadness was the next morning, just as the   sun rose."
1609	shame	I was walking outside the union refec after rain I tripped   and fell.
1610	guilt	I stole 5c from my mother's purse for a choo-choo bar - I was 6.
1611	neutral	"On a sailing boat at night, under a full moon, listening to Pink   Floyd, drinking good wine, with good company, the boat being   steered by autopilot, and a full eclipse of the moon."
1612	anger	my rights to use a shared house had been usurped by   co-owners out of pure selfishness.
1613	sadness	At rejection / being ignored by a loved person held in great   esteem.
1614	disgust	"Viewing the nuclear war film ""Threads""."
1615	shame	"Following heavy stirring / ridiculing a close friend who was   very vulnerable to such attack - inspiring fierce, defensive   counter-attack."
1616	guilt	"Guilt at having pressed another person to expose/explore his   personal weaknesses/faults, to the extent that the other person   was made to feel terrible/defensive."
1617	neutral	Family member survived an operation.
1618	fear	I was walking to my car at night and thought that I was being   followed.
1619	anger	I walked in on a teenage patient of mine (I work in a hospital)   as he was going through my office drawers and he had removed   money from my purse.
1620	disgust	I became aware that an acquaintance had stolen from friends.
1621	shame	Caught cheating on a diet.
1622	guilt	I had shown anger toward my dog and he was killed later that day.
1623	neutral	A close married friend has just had his first child.
1624	fear	Stranded in the north of Fraser Island with a submerged 4 WD hire   vehicle.
1625	sadness	"At the funeral of a friend about 20 years old, who was killed in   a hit-and-run motorcycle accident."
1626	disgust	A female friend was violently ill on the return journey from a   wedding reception we attended. Getting her out of the car   home took quite a while.
1627	shame	Cheating in a minor geography exam at school.
1628	neutral	Having received an offer to do post-graduate work.
1629	fear	Taking a trip to crocokile country I fell out of the boat and was   motivated by fear of being eaten to perform great swimming feats.
1630	anger	Last night - finding that someone in the house had eaten an   entire packet of almonds I had bought for a family treat.
1631	sadness	The loss of my father as he died of a massive and sudden heart   attack.
1632	shame	Having had a very heated argument with my sister - I began   hitting her about the head with a newspaper I was holding.
1633	guilt	A situation where I stole a friends wife's wallet.
1634	neutral	"Winning a tight tennis match. One set to play, and the team was   behind by 3 games. We won the last set 6-2 and won the match by a   game."
1635	fear	"at school, I threw a duster at another child and hit him in   the head. The blow caused a flesh wound and I was afraid of what   would happen to me the teacher found out the circumstances."
1636	anger	Finding that a subordinate at work was still not willing to   cooperate after discussions to try and resolve an attitude   problem.
1637	sadness	Death of the family dog.
1638	disgust	"We had friends to dinner and one of them threw a beer bottle in   the air, and it bounced on an expensive table and damaged the   table .The person did not apologise."
1639	shame	After making a joke about a friend's marriage that was too   personal.
1640	guilt	Carried out a vandalistic act on some windows at an old army   location.
1641	neutral	"Arriving in New Zealand as a teenager - first overseas trip -   something ""exhilarating"" about the change of scenery etc."
1642	fear	As a child (i.e. 5-7) hiking in reasonably rugged bush and   becoming lost for a duration of 5-7 hours.
1643	sadness	Leaving the house myself and a female friend had shared for 6-8   months because of the friendship which developed and our approach   to each other in occasional instances of several personal crises.
1644	disgust	"Discovering a good friend had lied to me, resulting in a   detrimental relationship with another person."
1645	shame	No specific instances - perhaps having lied as a child resulting   in someone else being blamed for the event.
1646	neutral	Going to a friend's wedding and seeing many of my old friends   whom I had known before I moved to a new district five years   previously.
1647	fear	"Car accident. Travelling as a passenger along narrow bitumen road   at night - trying to overtake semi-trailer. The truck pulled over   onto our side and we hit the wet dirt, swerved back into the   truck, back onto the verge, over a guide post and into a ditch."
1648	anger	At school I had a shouting argument with a friend over my   ability to carry out a particular duty in the correct way without   harming her.
1649	sadness	"Looking up end-of-semester results, and finding I'd failed three   out of seven (subjects)."
1650	disgust	I found out some family friends were embezzelling the   company they worked for - using company petrol and food supplies   and claiming furniture and crockery.
1651	shame	my best friend foud out I'd been lying about something I'd   been doing behind her back.
1652	guilt	"After having told an authority figure a very large lie I was told   she believed me, because she believed I had never lied to her. "
1653	neutral	"After being away on a holiday for 2 months, a friend, who lived   interstate, had remembered I'd get back and phoned to   welcome me home on the night of my arrival."
1654	fear	Walking along with a dog barking at you and following you.
1655	anger	Doing a group assignment and being left to do all the work and   take the blame for any mistakes.
1656	sadness	After training for an Australian championship competition for a   year and then injuring myself 2 weeks before the competiotion.
1657	disgust	Someone ruining someone's property just for the fun of it.
1658	shame	A friend giving me an expensive Christmas gift while I gave her a   cheap one.
1659	guilt	Talking about someone behind their back.
1660	neutral	"I was captain of the school swimming team. The team was only two   points in front before the last relay. We won the relay, which I   swam in, and thus my team won the championship."
1661	fear	"I was in about Grade 7, I came home from school one day and was told   that my mother had skin cancer and would have to go to the hospital   straight away."
1662	sadness	Shifted from Melbourne to Brisbane. All my old school friends   gave me a party and I had to say good-bye to them all.
1663	disgust	Was picking up my father from work and on passing through the   Valley watched three prostitutes walk up and down waiting for   someone to pick them up. Clothing was disgusting.
1664	shame	Had a very good friend. We grew apart I found myself running her   down to other friends.
1665	guilt	Guilt after fighting with my sister (for) telling her how bad she   was.
1666	neutral	"I won the ""Under 18"" Showjumping at the Brookfield Show. The   competition was very stiff and there were many riders competing."
1667	fear	"I was on holiday, walking back to where I was staying, at   night, and two men started closely following me. There was nobody   around that I could run to."
1668	anger	"my mother and father split up I was angry: I felt deprived   and ""different"" from other children at school."
1669	sadness	"I was terribly upset my kitten got hit by a car. He didn't   die, but for several weeks we thought he might have to be put   down."
1670	disgust	"I heard that one of my good friends, at a party, had   got herself involved with some very undesirable characters and   was experimenting with drugs."
1671	shame	"I hadn't studied for an exam, so I pretended to be sick so I   wouldn't have to go to school. I lied to my mother - she realized   I had been lying she got home from work and found that I had   been over to a friend's place."
1672	guilt	"I was young, I stole some money from my mother's purse. It   wasn't very much, but I can remember she found it gone I   felt very guilty."
1673	neutral	Day I received my T.E. score and acceptance into my chosen course.   
1674	anger	"At a school dance my supposed ""best friend"" kept walking   away from me whenever I came near her."
1675	sadness	"At end of school - function to ""celebrate"" ? Leaving friends who   I'd known for up to 12 years."
1676	disgust	"While watching a film of an experimental operation on a cat's   brain in which the cat had metal pieces protruding from its eyes,   mouth etc. to keep the head stable while being cut open."
1677	shame	"my mother asked me to do a job for her which does not   require much effort on my part, yet I refused for selfish reasons   and saw her have to do it."
1678	guilt	"After having been told not to take the car, I took it anyway and   felt guilty about having taken it."
1679	neutral	"Eating biscuits and drinking Milo (Chocolate energy drink made   with milk and usually drunk warm) with my friend at College. We   get on really well, don't withold any feelings about each other's   friends and are pretty good at cheering each other up we are   homesick."
1680	fear	Going to a disco by myself to wait for some friends. We had   separated and hadn't planned where to meet. I wasn't sure if they   were even going to this place so I felt very conscious of being   alone.
1681	anger	"A person ignored my advice, did not pay any attention to what was   saying. She acted as though I wasn't even there. We were doing   group work so everybody had the right to speak yet she just   ignored me. She made me feel insignificant."
1682	sadness	A friend of mine is having psychiatric problems because of his   mother's death ages ago. He is really quiet and because it   relates back to his childhood I feel sadness for him. He doesn't   lead a normal life and it just seems unfair.
1683	disgust	"At school, the only thing people my age could think of was getting   rolling drunk. They couldn't have a good time without firstly   getting drunk."
1684	shame	A girl I was with yelled something out to this group of guys I   knew. It sounded really childish.
1685	guilt	"I didn't tell my parents exacly what had made me so late in   getting home one night. I left out some details and somehow, I   felt I had lied to them."
1686	neutral	Getting a good mark for a subject I had worked hard at but   expected only a moderate mark.
1687	fear	"cleaning up a pile of junk under our house, a huge spider (a   ""Jungle Spider"") ran out near me. (I do not like even small   spiders)."
1688	anger	"At the hardware store, trying to convert Imperial to Metric   measurements, I made a mistake, and didn't buy enough tiles for   the bathroom. I was angry at myself, because I hope to be a Maths   teacher."
1689	sadness	My father died last year after an 8-week severe illness.
1690	disgust	"During the PY 102 film session on Tuesday, one of the films shown    was of an experiment on a live cat involving strapping it into a   machine for possibly days, and doing things to its brain."
1691	shame	Several years ago I was caught riding the train without a ticket.   The station-mistress treated me like a criminal almost.
1692	guilt	"I was walking quite quickly and unthinking through a children's   playground, a toddler ran in front of me I knocked him over   and he hit his head quite hard and began crying."
1693	neutral	I got a good reaction from my tutor and tutorial group for a   presentation I'd given that I was very worried about.
1694	fear	"A man was yelling outside my window at 3.00 am, yelling threats,   though not to me."
1695	anger	"Going away for the weekend, leaving my College room open - I   returned several friends had had a party there, leaving the mess."
1696	sadness	Passing away of my father.
1697	disgust	At a party where the boys were telling revolting stories about   the girls they'd been with.
1698	shame	Getting slightly intoxicated at the 1984 I.C.C. Ball.
1699	guilt	I felt guilty about going out I should have been studying   for a presentation I had to give on Wednesday the next week.
1700	anger	"I received the mark well above requirements for the course I   wanted to enter, yet I was not accepted - anger at the injustice   of it, because I didn't receive early release of H.S.C. marks."
1701	sadness	"I left all my friends at school (break up) knowing we would   probably all go our separate ways, and none see one another for a   long time."
1702	disgust	"At my father, he yelled and accused my sister's friend (over   the phone) of doing something he didn't do, or know anything   about."
1703	shame	"I was little and didn't own up to placing a lolly on the   varnish, this pulled it all off and I didn't admit my guilt."
1704	fear	At the tender age of eleven a friend and I left a party and   proceeded to walk through dark and secluded streets of a bad   neighborhood to find a telephone (recent spate of Horror Movie   watching had occurred).
1705	anger	In a situation whereby a friend's actions were deliberately   against my wishes and (with) no regard to my feelings.
1706	disgust	A situation where I ignored my beliefs and principles for a trip   of whimsy.
1707	shame	I bacame involved with a boy for a very brief moment not because   I liked him but because I needed some sort of company. The   consequences weren't as I expected and caused me much shame.
1708	guilt	Ignoring my parents'wishes.
1709	fear	Having my luggage checked at Customs.
1710	anger	a friend wouldn't speak to me and wouldn't tell me why.
1711	sadness	Thinking about friends overseas.
1712	disgust	Hearing of a filthy situation over the phone.
1713	shame	Sending pictures home I'd put on so much weight.
1714	guilt	Borrowed someone else's towel without asking.
1715	neutral	"I opened my TE Score envelope, and saw I got into   Physiotherapy."
1716	fear	I was bringing in the shopping and nearly stood on a snake.
1717	anger	"I was accused of ""bitching"" about best friend."
1718	sadness	"At our Senior dinner - separated from school friends, nothing   will ever be the same again."
1719	disgust	At a night club watching little tarts trying to earn a living.
1720	shame	I was little - Mum caught me telling a lie about who broke   the cup.
1721	guilt	I used to tell Mum I was going somewhere else than where I   was (going).
1722	fear	I was caught in an elevator and it got stuck between floors.
1723	anger	I was put into a tennis team below my standard.
1724	sadness	my father died.
1725	disgust	I have seen people very drunk and making fools of   themselves.
1726	shame	my friends were rude to a girl. 
1727	guilt	I was rude to my mother and got angry with her.
1728	fear	"somebody broke into our home one night my mother was   out, and my sister and I had just gone to bed."
1729	anger	my sister lost my favourite jumper at a party and failed to   tell me for several days after it happened.
1730	sadness	"my father passed away of cancer, I was extremely saddened.   He was not very old, which made matters worse. The actual death   was horrendous, but the moving funeral saddened me more so."
1731	guilt	I ate 12 biscuits one night after tea while watching TV - I don't   know why.
1732	fear	"I was seven years old and swimming outside the flags at the Gold   Coast. I was caught in a rip and taken out about 100 m. I   couldn't swim too well, but an older friend (17) swam out and   saved me."
1733	anger	"While at school I had to write an essay for doing something wrong   that I didn't do. I wrote the essay about how I was mistreated and   got Saturday morning detention along with a few other kids, but   they didn't show up."
1734	sadness	one of my closest friends died unexpectantly.
1735	disgust	I saw a male engineer one year and came back to find he was   now a female (I don't know it/them personally).
1736	guilt	We owned a shop and I used to serve in it occasionally. We   sometimes took lollies out of the stand and Dad caught me one   day.
1737	shame	Lying to a friend about something that was trivial.
1738	guilt	"I had promised to do a task for someone that was close to me, and   from the outset I knew it was important that I do it, but it   came to it, I let them down."
1739	neutral	Good news about a sick relative.
1740	fear	Walking in the dark by myself.
1741	anger	"Getting terrible meals, but paying heaps for them."
1742	sadness	felt lonely about writing my family.
1743	disgust	Person talking about a situation while eating.
1744	shame	Felt it after I spoke terribly (got mad at) the person who is the   most important in my life.
1745	guilt	Not giving up something for Lent.
1746	fear	Every time I see a spider or a snake.
1747	sadness	The first time I left home.
1748	disgust	"On a camp - boys and girls in one cabin. One guy forced himself   upon another girl and was having intercourse, while the girl in   the bunk beneath was pretending to be asleep and not be ill."
1749	shame	my new jeans split while I was with the youth group.
1750	guilt	"I was 17, I told Mum I came in at midnight, really it   was 3.30."
1751	neutral	Can't remember specific event - besides just being moderately   happy until a year or so ago.
1752	fear	Left alone in dark young.
1753	anger	Can't remember exact example.
1754	sadness	Close relative is dying of cancer - found out last week.
1755	disgust	"Doctors ignored relative who complained about pain, and is now   dying of cancer."
1756	shame	"One of my best friends'fiancT broke off the relationship because   his feelings for me were stronger than for her. I felt the same   for him, but did not really encourage him to leave her or stay   with her - still felt shame."
1757	sadness	After the fact that made me ashamed I felt sadness.
1758	disgust	A person that eat half of a cockroach in a cake without knowing   it.
1759	shame	"A situation where we were the center of attention, and things   happened without my control on them, that showed our disagreement,   and ignorance."
1760	guilt	I let a person assume a fault that I committed.
1761	neutral	"finally I found a place to live, I felt relieved, predicting   changes in my life, and I became happy."
1762	fear	I dreamed that I was being attacked by a friend.
1763	anger	I was left by the person I loved without any reason.
1764	sadness	To fight with a sister and to know that she doesn't care.
1765	disgust	To be kissed by soembody I didn't expect to.
1766	shame	"A day I was getting out of the shower I covered only the   front part of my body with a towel (I was 7 years old), and I   didn't see that my cousin was in the room."
1767	guilt	I finished a love affair where I was responsible of the sad   end.
1768	fear	"I felt fear once I was asleep and dreamed that I was dying   asfixiated by a cardiac attack, I was afraid and woke up   desperate. Altough I wasn't afraid of death I was afraid."
1769	anger	I feel it I see that somebody is traying to made a stupid of   me.
1770	sadness	I felt it I was at home and saw a discussion without sense   between my parents.
1771	disgust	I see all the putridness of people. The fact is the catarrh   and spits that whash the streets of S.Paulo.
1772	fear	I almost drowned myself in the municipal swimming pool that   I use to go almost not excaping.
1773	sadness	The death of my grandfather.
1774	disgust	To go through the underground way at suburb station of LAPA. Poor   people and the ambulants badly dressed up in a passage badly   kept.
1775	guilt	I pointed a failure of a friend of mine.
1776	neutral	I met a friend that I hadn't seen for some time.
1777	fear	I got in jungle where there was a great number of snakes.
1778	anger	an unknown person provoked me verbaly and physically.
1779	sadness	my team lost a championship.
1780	disgust	"A dirty person, smelling bad and unknown laying on me."
1781	shame	I confused a girl with another.
1782	guilt	Once I complained I caused a great discussion between my   parents.
1783	neutral	I began to date a boy with whom I am till now. This was 16   months ago.
1784	sadness	I got separated from the man I loved.
1785	disgust	An acquaintance of mine revealed himself in a light unexpected to   me.
1786	guilt	I was in a sanatorium. In front of me a boy fell down from his   invalid's chair. I could help him but I didn't. I felt like being   paralysed.
1787	fear	I was to sit for my first entrance exam. I had fear of a   possible failure.
1788	anger	I was indignant at the unimpartiality shown by the referees at   the football match between Bulgaria and France.
1789	sadness	I got separated from the man I loved so much.
1790	disgust	"I was watching some scenes from the Bertoluchi's film   ""Twentieth Century""."
1791	guilt	"I have sometimes been unfair to my parents, I have   happened to deceive them over some trifling things."
1792	fear	I come home late at night.
1793	anger	"I talk to silly, petty-minded and unmanageable people."
1794	sadness	my friend (girl) went abroad for two years.
1795	disgust	I happen to witness some sadistic acts.
1796	shame	I have a plain appearance.
1797	guilt	someone is accused or punished instead of me.
1798	fear	I was bitten by a dog.
1799	anger	My grandfather's funeral.
1800	sadness	I was alone at home on New Year's Eve.
1801	disgust	I was on a walk with my child I met a drunk woman.
1802	shame	I was unaware that I had walked the streets in torn trousers.
1803	guilt	Once I worked as a designer. A fitter was hard hit in a damage   that occurred at the building site I had designed.
1804	fear	A grenade blew out next to me.
1805	anger	An unjust calumny concerning me.
1806	sadness	Unrealisation of the desired profession (aviator).
1807	disgust	Disgust with a subordinate.
1808	shame	I lied to a friend.
1809	guilt	Betraying someone's trust.
1810	guilt	Friend's fiancT left her for me.
1811	neutral	Winning Queensland Chess Championship.
1812	fear	"in a car accident where car was total wipe off (wipe out, or   write off)."
1813	anger	With self at losing an important game that I should have won.
1814	sadness	Death of grandfather (unexpected).
1815	disgust	Someone smoking on Electric train (Electric trains are   non-smoking) with alcohol smell coming from person.  
1816	shame	bathing at surf beach & lost togs.
1817	neutral	"Receiving a very personal letter from a lady that I like, which   revealed that she was more enthusiastic about me than I had   thought possible."
1818	sadness	"I left my home in Melbourne to come to Q'land to study and before   I hopped in the car I hugged my mother and shook hands with my   father. Sensing immediately my father's sadness, I also had a   flood of the same emotion."
1819	disgust	"one of my parents verbally, personally abused the other."
1820	shame	"I felt something akin to shame after a heavy night of drinking,   along with waking up with a woman I had just met whose husband   was an epileptic. I was later to know that she knew my mother."
1821	guilt	"I felt guilty about talking negatively, and agreeing with a   person who was doing likewise, about a non-present third person."
1822	neutral	Being in love for the first time.
1823	fear	As a child - stepping on a rusty nail - being told that I might   get tetanus.
1824	anger	"As a child - about 8 years old - walking across a paddock - being   set upon by another boy who claimed it was ""his land"" - being   intimidated by the boy - crying, being punched, etc."
1825	sadness	As a child - having a dog - it getting a disease and dying.
1826	shame	As a child - being sent to the shop by mother - buying some   chocolate - getting caught by mother.
1827	guilt	As a child - accidentally stepping on a pet guinea-pig - it   dying.
1828	fear	"One night going downstairs, and hearing a strong stirring of   brances, which was not the wind."
1829	anger	"I was informed by my flatmate that, we'd moved into our   flat, she'd expected us to buy our food separetely - this event   actually happened some 5 months after our sharing began. Prior to   this, she had said nothing."
1830	sadness	"Having to decide on a termination of a pregnancy, after   discussing it with friends, family and the man involved."
1831	disgust	a friend didn't invite her own parents to her Graduation   ceremony.
1832	shame	"Saying something quite rude, but in jest, about a photograph of   someone, but it didn't quite turn out that way."
1833	guilt	"I was about 14 years old, I ""borrowed"" a can of drink from   the refrigerator, intending to replace it later that day. But it   was found missing before I could do anything - no one owned up to   its disappearance."
1834	neutral	"I was a child, my beloved cat gave birth to four beautiful   little kittens. Before she had them, she came up to me and I   followed her out, then witnessed them being born."
1835	sadness	"Upon moving away from home for the first time to a different   city, I felt no longer ""under the wing"" of my parents even though   they would always be there to help me. I felt a sense of loss, I   was now all alone in the world, responsible for my own actions."
1836	disgust	"I was sitting at a rock concert, listening to an extremely loud   band. A tiny baby in a crawler had been left by his young mother,   right out in the sun next to a speaker, and was screaming -   probably in pain."
1837	shame	"Because I was lazy and unthoughtful I did not get into contact   with a very close friend she shifted from the Gold Coast to   Brisbane, for a month, despite her efforts to contact me. I felt   shamed I finally confronted her again."
1838	fear	"Before Uni started, I had to leave home and take up residence in   Brisbane (the ""big smoke"") leaving home, my family, and moving to   such a big place was quite intimidating at first, and I was   anxious about it."
1839	sadness	"A very close friend from Victoria visited me over the holidays.   Having enneutraled his company immensely over 10 short days, I was   overwhelmed by sadness he left to return to Victoria.  "
1840	disgust	"One of my flatmates and I came back to the flat Monday morning,   to find a real Mess, left by the guy we share with."
1841	shame	"First weekend back home after one week at Uni I scolded one of my   sister's best friends for using our telephone. Very silly, but I   was annoyed because she was there at a time I needed to be   with my family."
1842	neutral	"neutral of giving birth, and of sharing that neutral with my husband.   Moments of complete happiness and feelings of so much love."
1843	fear	"Attempted rape by 5 guys - held my arms behind my back and   molested me, constantly threatening to beat me. Penetration did   not occur as the driver of the car stopped that."
1844	anger	"Anger at doctors for their treatment of me after giving birth.   They left part of placenta behind and I bled heavily for twelve   weeks - due to this, I felt weak and emotional, and they said I   needed psychiatric treatment and give me no support."
1845	sadness	"my son was diagnosed as having CEREBRAL PALSY, at age 5. He   would have to endure so much labelling, stigma and discrimination,   even though his case was relatively mild."
1846	disgust	I have an adopted Aboriginal sister I felt disgust due to the   racism she has been subjected to.
1847	shame	I can't remember ever feeling shame.
1848	guilt	"I decided my first marriage had ended, and left with the   child. I felt overwhelmed by guilt as I was separating mother and   child."
1849	neutral	"Receiving notification that I had made a successful application   to the Speech Therapy course at Uni, gave me a very good feelig   of achievment and neutral."
1850	fear	Not included on questionnaire.
1851	sadness	"My mother left my father for his best friend, and he moved to   Papua New Guinea. Despite the fact that I am closer to my father   than to anyone else in my family, I had to move in with my   mother, and say good-bye to my father, not knowing I would   see him again."
1852	disgust	"I discovered my mother had been having an affair with my   father's best friend, and then ran away with him without even   speaking to me about what she was doing letting me come home from   school simply to find her gone. I was filled with disgust and   contempt."
1853	guilt	I once stole a shirt from the Department Store in which I work. I   have been promoted to work in a very privileged section of the   store. Their belief in my integrity makes me feel even guiltier.
1854	neutral	Seeing a close friend who had just returned from twelve months   overseas.
1855	fear	Finding myself alone in a public toilet block with a man known to   have had great psychological disturbances.
1856	anger	"After seeing an ""uncertain"" child work on a model for several   hours, I watched a ""bully"" of the same age destroy it, telling   the child that it was worthless."
1857	disgust	Viewing the results of senseless vandalism to a local primary   school.
1858	shame	I slept with a man purely because I found him physically   attractive and was under the influence of alcohol.
1859	guilt	"Inventing a fictitious series of events, as a result of which I   ended up in a conflict with my two closest friends."
1860	fear	"going for my driver's licence for the third time, because   everything, it seemed, hinged on getting it. I was really nervous,   and the testing Officer made me a little afraid as well. There   were lots of things to worry about. I passed however."
1861	anger	"a so-called friend let me down, she promised to tell me   a certain concert was occurring, and that she'd get me   tickets. I was really looking forward to it. She did nothing,   just told me out of the blue one day what a fantastic concert it   was going to be."
1862	sadness	my family heard that my Mother's cousin who lives in   England wrote us to tell that he had cancer of the lymph glands.
1863	disgust	"I found out how the people of Ethiopia were starving and   their government was spending millions on celebrating being in   power so many years. Then I saw all these people on TV needing   food, etc."
1864	shame	"I went to visit Montrose home for crippled children to interview   a handicapped child. I interviewed two boys and it went really   well. I promised I would visit them, but never got the time. Now I   hope they've forgotten me, but I feel ashamed of letting them   down."
1865	guilt	"I was driving my parents' car into a carpark in front of a shop   we own, and scraped the corner of the front panel on the back   corner of my father's utility. I didn't tell anyone, I lied about   the bump (later I had to confess)."
1866	anger	One day in a crossroad somebody crashed my car. I got out and   this person laughed at me. I felt such a great anger that I got   in my car and went away.
1867	disgust	Returning home in the late afternoon I saw an indecent act made   by a man with the purpose that I saw it.
1868	shame	In a school parting we agreed to go to a restaurant.   We met at school and we separated us in several cars. My car   broke and we arrived late. All those who already had arrived   stand up and applauded us we entered two hours late.   All the restaurant attention was turned on us.
1869	fear	One night I and my friends went to the cemetery. We stopped the   car in front of the wall and suddenly the grave digger appeared   over the wall looking like a ghost. I was already afraid and   almost died.
